text,label
Installment Rs.23662 paid to PERSONAL LOAN EMI on 26/06/2025. SBI A/c ****1127. Ref 528701867452.,Loan & EMI
Your a/c 2499 debited for INR 85189 on 08-08-24 trf to Kuvera. UPI:176937203885. -ICICI Bank,Investment
Payment Rs.13068.00 to practo@icici. Kotak Bank. A/c 2603. 28/05/2025. Ref 182259058135.,Healthcare
Debit INR 39615 from IndusInd Bank a/c *7851 for PW PhysicsWallah fees on 05-09-26. Ref 386757361815.,Education
SIP/Investment INR 3328 to groww@axisbank from Kotak Bank A/c ****1905. 13/03/26. Ref 614310304388.,Investment
Payment to hotstar@paytm: Rs.2659. Axis Bank. A/c XX7237. 03/05/25. UPI Ref:233888570811.,Entertainment
ICICI Bank: Rs.491 debited to mcdonalds@paytm on 07-04-25 from A/c 3968. Ref 472595312595.,Food & Dining
Rs.458 paid to Hotstar Disney via UPI. ICICI Bank A/c *3399. 27-07-25.,Entertainment
Sent Rs.12596.00 From Kotak Bank A/C 9845 To Zerodha On 25/06/2024 Ref 734291379045,Investment
Your a/c *7657 debited for Rs.9290.00 on 27-10-2024 trf to PW PhysicsWallah. UPI:53575524145. -SBI,Education
Rs.577 paid to Hotel Darshini via UPI on 15/04/2025. Karnataka Bank A/c ****7447. Ref: 816724970537.,Food & Dining
Your a/c *4610 debited for Rs.27190.00 on 17-11-25 trf to PNB LOAN EMI. EMI payment. -IndusInd Bank,Loan & EMI
Payment to inox@kotak: Rs.1846.00. Federal Bank. A/c *4525. 23/07/2026. UPI Ref:263139049556.,Entertainment
Loan EMI Rs.9680 debited from Karnataka Bank a/c 6268 on 10/05/24. Ref 162634880278.,Loan & EMI
Yes Bank: Rs.47389.00 debited to CODING BOOTCAMP on 07-12-24. A/c ****9069. Ref 629284400743.,Education
Sent Rs.2835.00 From ICICI Bank A/C XX5864 To Tata Power On 08/05/2024 Ref 325747175469,Utilities
Debit Rs.26646 from Axis Bank a/c XX8824 to Priya Singh on 15-09-2025. UPI Ref:733104363631.,Personal Transfer
Rs.37426 paid to Sneha Patel via UPI. ICICI Bank A/c ****3642. 07/11/25. Ref 223596007426.,Personal Transfer
Your a/c XX6238 debited for Rs.6828.00 on 25-06-25 trf to Rohan Gupta. UPI:498835012269. -SBI,Personal Transfer
Payment of Rs.1610 to zomato@kotak successful. Union Bank A/c XX8823. 10/06/2026. Ref 789997440349.,Food & Dining
Sent Rs.6865.00 From SBI A/C ****2110 To IndiGo Airlines On 28-06-2024 Ref 844738625376,Travel
Your a/c XX7966 debited for Rs.22648.00 on 11/04/2026 trf to Vikram Rao. UPI:992095034000. -SBI,Personal Transfer
UPI txn ₹4316 to apollo@hdfcbank from SBI A/c 7879 on 18-10-26. Ref 255120184455.,Healthcare
UPI payment of INR 4677 to myntra@kotak from Kotak Bank A/c 9571. 21/12/2026. Ref: 808039422865.,Shopping
Your a/c XX4961 debited for INR 68345 on 21/07/2025 trf to Kuvera. UPI:414557157293. -Axis Bank,Investment
Payment of INR 1312 to zomato@kotak successful. Yes Bank A/c ****5009. 11/08/2026. Ref 857182513861.,Food & Dining
MF purchase Rs.42601.00 to paytmmoney@paytmbank. Union Bank. A/c 1855. 09-08-25. Ref 749105568314.,Investment
Loan EMI Rs.42748 debited from ICICI Bank a/c XX4967 on 25/07/25. Ref 808934171036.,Loan & EMI
UPI txn INR 535 to tneb@hdfcbank from Karnataka Bank A/c ****7414 on 06-12-2024. Ref 138277269369.,Utilities
Sent Rs.1478 From Kotak Bank A/C XX4473 To FRESH MENU On 16/06/26 Ref 303714196644,Food & Dining
Rs.569 paid to Domino's Pizza via UPI on 10/05/26. Union Bank A/c ****2860. Ref: 310769691389.,Food & Dining
Sent ₹3635 to Pantaloons on 22-07-24. Kotak Bank A/c *5420. Ref 544274311878.,Shopping
Kotak Bank: ₹517 subscription to Amazon Prime debited on 13/07/24. A/c ****8139. Ref 897372652693.,Entertainment
Rs.1962 paid to Tata Play DTH via UPI. HDFC Bank A/c *7556. 09/11/25.,Utilities
Sent ₹1072 From HDFC Bank A/C *7244 To Swiggy On 09-02-2026 Ref 140358408942,Food & Dining
Sent INR 14646 From SBI A/C XX8256 To DR REDDY LAB On 24-02-26 Ref 293596706603,Healthcare
FD/RD installment ₹14665 to ICICI Pru MF. IndusInd Bank A/c *5695. 26/11/25. Ref 423028400008.,Investment
Your a/c XX2707 debited for Rs.2138 on 13/06/2024 trf to PharmEasy. UPI:313838165990. -Union Bank,Healthcare
Payment Rs.18749.00 to 1mg@axisbank. Axis Bank. A/c ****2459. 16/01/25. Ref 381824044304.,Healthcare
Payment Rs.8027.00 to ajio@hdfcbank done. ICICI Bank A/c ****2017. 21-05-24. UPI Ref:723470506985.,Shopping
Recharge/Bill Rs.1195.00 to Jio Recharge. ICICI Bank A/c XX3440. 06-11-2026. UPI:937855904700.,Utilities
SIP/Investment Rs.17464.00 to groww@axisbank from Karnataka Bank A/c XX3899. 06-12-26. Ref 624215428429.,Investment
Union Bank: EMI Rs.26786.00 debited on 16/09/2024. A/c ****7538. Loan ref 434110745812.,Loan & EMI
HDFC Bank: ₹49237 invested in NIPPON MF on 09/05/25. A/c 3650. Ref 891486549155.,Investment
Axis Bank: Rs.6690.00 invested in PPF ACCOUNT on 03-11-26. A/c *2194. Ref 826351077240.,Investment
Sent Rs.26301 From SBI A/C *9792 To LendingKart On 25-10-2025 Ref 875545288389. Loan EMI.,Loan & EMI
ICICI Bank: Card purchase of ₹628 at Levi's India on 14/03/2025. A/c ****7911. Ref 819834117528.,Shopping
Sent Rs.2017.00 to BOAT STORE on 23/11/2026. Karnataka Bank A/c ****5376. Ref 904604708325.,Shopping
EMI of Rs.8144.00 auto-debited from ICICI Bank A/c ****3265 on 07/02/24. Ref: 534885840111.,Loan & EMI
FD/RD installment ₹9744 to Groww. Union Bank A/c *6547. 28-07-2024. Ref 100947894945.,Investment
Payment of Rs.8233 to ola@hdfcbank. Union Bank. A/c XX9906. 12/08/2024. Ref 776067367436.,Travel
Installment Rs.42136 paid to GOLD LOAN REPAYMENT on 19-06-2026. Yes Bank A/c *9927. Ref 876064327258.,Loan & EMI
Transfer Rs.15397 to Deepak Joshi on 01-01-2026. Kotak Bank A/c *2711. Ref 460156602938.,Personal Transfer
Your a/c 5391 debited for Rs.45822 on 06-11-2024 trf to SAMSUNG STORE. UPI:671232912900. -SBI,Shopping
Sent Rs.5667.00 to Porter India on 18/03/2026. UPI:179963718450. IndusInd Bank A/c XX8856.,Travel
Debit ₹36871 from Yes Bank a/c *7081 for FD CREATION on 20-07-2026. Ref 890940190946.,Investment
UPI transfer Rs.40614 to Sneha Patel from Kotak Bank A/c *1609. 12-03-2025. Ref 285680541365.,Personal Transfer
Payment INR 4612 to nykaa@upi done. SBI A/c 4418. 26/03/2025. UPI Ref:44300664768.,Shopping
Transfer Rs.4788 to Divya Iyer on 08/04/2025. IndusInd Bank A/c 8755. Ref 797815753721.,Personal Transfer
Sent Rs.179.00 to Theobroma on 01-12-24. A/c ****3277. UPI:941250662290. -Kotak Bank,Food & Dining
UPI txn INR 3195 to pharmeasy@kotak from Kotak Bank A/c *2786 on 14-04-24. Ref 344825873935.,Healthcare
Payment ₹10196 to nykaa@upi done. Karnataka Bank A/c 8312. 21-06-2026. UPI Ref:78288929164.,Shopping
Installment Rs.49666 paid to Navi Loans on 14/04/2025. ICICI Bank A/c ****3242. Ref 584935274315.,Loan & EMI
Sent Rs.698.00 to Box8 on 14/06/2026. A/c 9414. UPI:571673839185. -Karnataka Bank,Food & Dining
Your a/c 8405 debited for Rs.44788 on 05-04-24 trf to Thyrocare. UPI:577154435177. -ICICI Bank,Healthcare
IndusInd Bank: Rs.31410 sent to SUNITA DEVI on 21/08/26. A/c ****3509. Ref 512534874773.,Personal Transfer
Sent Rs.5633 From IndusInd Bank A/C XX6204 To EDUCATION LOAN EMI On 01/01/2024 Ref 886219011987. Loan EMI.,Loan & EMI
SIP/Investment ₹753 to zerodha@kotak from ICICI Bank A/c ****9936. 04-04-25. Ref 430553801323.,Investment
Karnataka Bank: Rs.49396 sent to Amit Kumar on 21/11/25. A/c XX9940. Ref 644629769478.,Personal Transfer
Your a/c ****8856 debited for Rs.39644.00 on 14-03-2025 trf to Rohan Gupta. UPI:920388389308. -ICICI Bank,Personal Transfer
Payment ₹6059 to pharmeasy@kotak. HDFC Bank. A/c ****2968. 05/07/2026. Ref 103815475063.,Healthcare
Payment ₹11948 to apollo@hdfcbank. HDFC Bank. A/c ****1293. 05-08-24. Ref 477463340222.,Healthcare
FD/RD installment ₹1642 to Kuvera. HDFC Bank A/c ****1877. 27-08-25. Ref 478267448088.,Investment
HDFC Bank: Card purchase of ₹15577 at Nykaa on 09/04/2025. A/c ****5271. Ref 760977408949.,Shopping
Sent Rs.730.00 From Karnataka Bank A/C XX1943 To Amazon Prime On 17-07-2026 Ref 532869018827,Entertainment
Yes Bank: Rs.268.00 subscription to Sony LIV debited on 13-09-2024. A/c ****6038. Ref 104826602587.,Entertainment
Debit ₹2399 from Kotak Bank a/c XX4375 to Abhibus on 23/01/2025. UPI Ref:198506559147.,Travel
Your a/c XX7945 debited for Rs.14623 on 06/12/24 trf to Air India. UPI:500173853990. -Axis Bank,Travel
Federal Bank: INR 3360 bill payment to BSNL on 16-12-26. A/c ****9316. Ref 421920646832.,Utilities
UPI txn Rs.1732.00 to tatapower@icici from SBI A/c ****1534 on 09/12/2025. Ref 434047329465.,Utilities
HDFC Bank: Rs.885.00 bill payment to ACT Fibernet on 26/05/26. A/c *6886. Ref 948240323066.,Utilities
UPI txn Rs.9883 to practo@icici from Federal Bank A/c ****7607 on 04/01/2024. Ref 291865993902.,Healthcare
Transfer Rs.26241 to ARUN B on 25-11-26. Axis Bank A/c XX4767. Ref 612598097685.,Personal Transfer
Rs.227 paid to Paradise Biryani via UPI on 06/09/2025. Yes Bank A/c 9652. Ref: 263128291805.,Food & Dining
Federal Bank: EMI Rs.8946.00 debited on 08-12-24. A/c 5709. Loan ref 219101568324.,Loan & EMI
Fees payment Rs.25944.00 to vedantu@kotak. Karnataka Bank. A/c *6183. 09-04-24. Ref 791019420442.,Education
UPI txn Rs.9727.00 to practo@icici from ICICI Bank A/c *3127 on 08/02/2024. Ref 458948443258.,Healthcare
Sent Rs.42885.00 From Federal Bank A/C ****5136 To NIPPON MF On 05-08-26 Ref 219508404409,Investment
Rs.5124 SIP debited to Kuvera. Axis Bank A/c ****1269. 03/11/2025.,Investment
Sent INR 11453 From Axis Bank A/C XX2389 To ST XAVIER'S COLLEGE On 12-01-2024 Ref 294713459896,Education
Sent INR 889 From SBI A/C ****2199 To INOX GARUDA MALL On 16/10/26 Ref 431292535063,Entertainment
Sent Rs.41838 From SBI A/C XX1895 To Kavya Nair On 17/08/2024 Ref 515935095939,Personal Transfer
UPI txn INR 3747 to redbus@icici from Kotak Bank A/c 3782 on 23/04/24. Ref: 947496295923.,Travel
Your a/c ****5993 debited for INR 56381 on 03/03/2025 trf to ST XAVIER'S COLLEGE. UPI:584274964812. -Union Bank,Education
UPI txn of Rs.467 to kfc@ybl from Union Bank A/c 6563 on 05/05/26. Ref: 300377597244.,Food & Dining
Sent Rs.36615 From ICICI Bank A/C 2270 To PERSONAL LOAN EMI On 11/06/24 Ref 912881620624. Loan EMI.,Loan & EMI
Rs.8872 paid to Coursera via UPI. ICICI Bank A/c XX8236. 08/11/2026.,Education
Your a/c XX3478 debited for Rs.35412 on 08/04/2025 trf to FabIndia. UPI:726529978840. -Karnataka Bank,Shopping
Auto debit: Rs.22549 EMI from Kotak Bank A/c ****1628 on 26-09-26. Ref 514584625626. -Manappuram Finance,Loan & EMI
Rs.3712 paid to MANIPAL UNIVERSITY via UPI. SBI A/c *8041. 25/01/2025.,Education
Your a/c XX6433 debited for Rs.9180.00 on 28/02/24 trf to GOLD LOAN REPAYMENT. EMI payment. -SBI,Loan & EMI
Sent Rs.5437 From Union Bank A/C *9614 To FASTAG RECHARGE On 07/05/2026 Ref 924009002170,Travel
Payment to inox@kotak: ₹714. Yes Bank. A/c XX1454. 17-06-26. UPI Ref:314187990194.,Entertainment
UPI payment of Rs.19901 to amazon@icici from Axis Bank A/c XX7411. 02/09/2026. Ref: 616366890282.,Shopping
HDFC Bank: Rs.32896 invested in Kuvera on 22/09/2024. A/c 7793. Ref 463247019612.,Investment
UPI:766740593588. Rs.40005.00 debited from ****2515 to Muthoot Finance on 01-08-24. Loan EMI. -SBI,Loan & EMI
Rs.289 paid to EatFit via UPI on 01-11-26. Karnataka Bank A/c ****7425. Ref: 574245269424.,Food & Dining
MF purchase Rs.8049 to upstox@icici. Kotak Bank. A/c ****2513. 24-05-2026. Ref 203297260195.,Investment
Sent Rs.29119 From Kotak Bank A/C ****9389 To SIVA S On 24/05/2024 Ref 670677627510,Personal Transfer
Payment of INR 949 to blusmart@oksbi. IndusInd Bank. A/c *8846. 16-07-2024. Ref 292873600691.,Travel
Debit Rs.417.00 from SBI a/c XX8146 for Amazon Prime on 17/11/24. Ref 547216599108.,Entertainment
Rs.3763 SIP debited to CoinSwitch. Federal Bank A/c *5256. 26/02/2024.,Investment
Rs.297 paid to Pizza Hut via UPI on 24-07-24. Axis Bank A/c ****6036. Ref: 234645342415.,Food & Dining
EMI of Rs.36650.00 auto-debited from Karnataka Bank A/c XX7825 on 07-09-24. Ref: 835298352303.,Loan & EMI
Payment Rs.6718 to croma@axisbank done. Federal Bank A/c XX4083. 21/11/2026. UPI Ref:491430494109.,Shopping
Rs.484 paid to Zomato via UPI on 06-12-24. Yes Bank A/c ****4963. Ref: 368273987631.,Food & Dining
Rs.4359 paid to EXAM FEES via UPI. Federal Bank A/c 9988. 17-03-2024.,Education
Sent ₹148731 From Karnataka Bank A/C 6525 To VIT UNIVERSITY On 22/02/25 Ref 722661866229,Education
Rs.582 paid to KFC INDIA via UPI on 16/11/24. ICICI Bank A/c 8971. Ref: 578600473268.,Food & Dining
Debit Rs.1667 from Federal Bank a/c ****9256 to Air India on 24-01-24. UPI Ref:351998103631.,Travel
Rs.118 paid to Steam India via UPI. SBI A/c *4576. 12/10/26.,Entertainment
EMI of Rs.8023.00 auto-debited from ICICI Bank A/c 2763 on 11-04-2025. Ref: 218880476336.,Loan & EMI
HDFC Bank: INR 5712 debited to Simplilearn on 25/07/24. A/c *1903. Ref 591942981624.,Education
MF purchase ₹3247 to zerodha@kotak. ICICI Bank. A/c 6483. 09-05-24. Ref 225959604943.,Investment
Debit: Rs.32904 from Axis Bank a/c 1201 for purchase at Zudio Forum. 23-07-26. Ref 301202174998.,Shopping
UPI transfer Rs.19013 to Ananya Pillai from SBI A/c XX1586. 25-10-2024. Ref 119925675696.,Personal Transfer
Federal Bank: Rs.664 subscription to Gaming Zone debited on 01-08-24. A/c XX6862. Ref 664627093080.,Entertainment
Payment of Rs.1472 to chaayos@oksbi successful. ICICI Bank A/c ****5413. 10/06/2026. Ref 505030955723.,Food & Dining
Your a/c XX5548 debited for INR 2257 on 20/05/25 trf to BSES Rajdhani. UPI:971776025377. -Axis Bank,Utilities
Rs.2113 paid to IRCTC via UPI. HDFC Bank A/c XX4862. 17/03/26.,Travel
Your a/c *6440 debited for INR 7329 on 20/04/2026 trf to Ola Cabs. UPI:751656458770. -Federal Bank,Travel
Sent ₹248 From ICICI Bank A/C ****8989 To SWIGGY ORDERS On 01-03-2026 Ref 188840431060,Food & Dining
Debit INR 77523 from Federal Bank a/c 2066 for Udemy fees on 15-03-24. Ref 444294191482.,Education
Transfer Rs.38992 to Kavya Nair on 13/11/2025. Federal Bank A/c 3971. Ref 807663395132.,Personal Transfer
Sent Rs.96066.00 From Union Bank A/C XX3428 To JAIN UNIVERSITY On 06-05-2024 Ref 778559678354,Education
Your a/c XX1911 debited for Rs.1641 on 18-06-2025 trf to Rebel Foods. UPI:408563084835. For dispute call Union Bank,Food & Dining
Rs.6124 debited to Levi's India via UPI. IndusInd Bank A/c *2984. 12-10-2024. Ref 492661677102.,Shopping
Installment Rs.31816 paid to PNB LOAN EMI on 21/05/2025. Union Bank A/c XX5366. Ref 153151303500.,Loan & EMI
Your a/c ****7814 debited for ₹51950 on 26/10/2026 trf to NIPPON MF. UPI:645467826457. -HDFC Bank,Investment
Payment to pvr@hdfcbank: Rs.1429.00. Yes Bank. A/c ****6080. 04-05-2025. UPI Ref:25354008598.,Entertainment
Sent Rs.369.00 to Rebel Foods on 19/11/2025. A/c 7559. UPI:704918049860. -Federal Bank,Food & Dining
SBI: INR 316 subscription to Amazon Prime debited on 28-04-2026. A/c 6404. Ref 528435030697.,Entertainment
Debit: ₹1556 from SBI a/c XX5402 to Theobroma on 13/09/2026. UPI Ref: 407594975195.,Food & Dining
Your a/c XX8869 debited for Rs.34666.00 on 09/05/2025 trf to GOLD LOAN REPAYMENT. EMI payment. -ICICI Bank,Loan & EMI
Rs.224 paid to Fun World via UPI. Kotak Bank A/c ****7956. 23/04/26.,Entertainment
EMI of Rs.28029.00 auto-debited from Kotak Bank A/c 2269 on 28/07/2025. Ref: 917252798545.,Loan & EMI
Federal Bank: Rs.28114 debited to IIM FEES on 14-04-24. A/c *2432. Ref 771134478511.,Education
Sent Rs.19452 From SBI A/C ****6940 To Pantaloons On 16-01-2025 Ref 882192329468,Shopping
Sent Rs.1199 From Karnataka Bank A/C ****1912 To Sun Direct On 20/02/2025 Ref 118723885598,Utilities
Rs.1237 paid to INDIAN OIL via UPI. Karnataka Bank A/c XX8041. 16-04-2026.,Travel
Sent INR 5258 to IRCTC on 11-09-2024. UPI:204139935787. ICICI Bank A/c 4435.,Travel
Sent Rs.1248.00 From Axis Bank A/C *1203 To Theobroma On 21/02/24 Ref 423661887880,Food & Dining
FD/RD installment Rs.7630 to HDFC Mutual Fund. Union Bank A/c *9480. 18/11/26. Ref 460337900492.,Investment
Your a/c 6611 debited for ₹4873 on 05-01-2024 trf to IRCTC. UPI:927228054671. -Kotak Bank,Travel
UPI payment of ₹14348 to amazon@icici from HDFC Bank A/c ****7867. 14-01-25. Ref: 408469018283.,Shopping
SIP/Investment Rs.20564.00 to kuvera@hdfcbank from ICICI Bank A/c ****4756. 12/04/25. Ref 302242663517.,Investment
Sent Rs.1021.00 From Yes Bank A/C XX6855 To Uber India On 26/01/25 Ref 453928861777,Travel
Rs.1193 paid to DR REDDY LAB via UPI. Karnataka Bank A/c ****1001. 25-01-2025.,Healthcare
Sent INR 617 to Pizza Hut on 17-03-26. A/c 1543. UPI:933529640801. -IndusInd Bank,Food & Dining
Rs.834 paid to Vistara via UPI. Axis Bank A/c 1681. 01/12/2025.,Travel
Sent INR 2988 to PETROL BUNK on 17-05-2026. UPI:483235324149. Karnataka Bank A/c XX8148.,Travel
Sent Rs.19312 From Karnataka Bank A/C XX2149 To GEETA RANI On 19-06-2026 Ref 983687346299,Personal Transfer
Rs.1476 paid to Thyrocare via UPI. Yes Bank A/c 1176. 10/03/25.,Healthcare
Karnataka Bank: ₹10729 invested in ICICI Pru MF on 10-10-24. A/c ****9810. Ref 618495831079.,Investment
