text,label
"McDonald's: Refund of ₹130,432 for order #EPBFTZLHOPH3 processed. Credit in 2-3 business days.",Food
Exam timetable released. Check college portal. Finals from 01 Apr 2025.,Personal
Jio Special: 2GB/day for 56 days at Rs.299. Recharge now!,Promotion
Your Uber ride is confirmed. Driver Pooja in Dzire arriving in 11 mins.,Travel
Refer a friend on BHIM & earn Rs.74. They get Rs.72 too! Valid till 22 Jun 2026.,Promotion
HP Gas: Your LPG cylinder is due for delivery. Amount: Rs.1035. Ref: FH47CCOJAGQY.,Bills
HP Gas: Your LPG cylinder is due for delivery. Amount: Rs.1106. Ref: IM4GRU7J7MKP.,Bills
"Google Pay: Rs.84,064 transferred to meena@oksbi. Axis Bank A/c XX971071. Ref: 6LR6SAKRAFFL.",Transaction
"BWSSB Monthly Bill: Rs.150,739. Units consumed: 550. Due: 09 Jul 2026.",Bills
"Domino's: INR22,573 refunded to Paytm Wallet for cancelled order #0BD2PU10K3LT.",Food
"You have received INR100,268 from Priya via PhonePe on 18/01/2025. Canara Bank.",Transaction
Sent Rs.42032 From Kotak Bank A/C XX6327 To Netflix On 23-11-25 Ref 404347788967,Transaction
"NEFT of Rs.161,778 credited to A/c XX932971 on 25 September 2025. Canara Bank. Ref: IWML12P5WPVI.",Transaction
Independence Day Sale: 50% off at Flipkart. Valid for today only!,Promotion
"Baby shower for Ravi! Date: 29/04/2024, Time: 12:59. Do join us for the celebration.",Personal
"KFC Order Confirmed #4F56KT8NOMTT. Total: Rs12,998. Track on app. Est. 50 mins.",Food
"Item out of stock: Croma order #D09DK9VABRFF partially cancelled. Refund of INR178,392 processing.",Shopping
Your a/c XX8793 debited for Rs.42837.00 on 10-06-25 trf to Jio Fiber. UPI:815015196897.For dispute SMS BLOCK 4267 to 9811653317 -SBI,Transaction
Amazon India: Order #U7A0SFNC9X2P shipped via courier. Estimated arrival: 14/07/2026.,Shopping
"FAILED: UPI txn of INR32,951 to karthik@upi on 08/02/2024. Ref: KPK7FVU3F0ME. Retry or contact Canara Bank.",Transaction
Hungry? Use McDonald's coupon SAVE13 for Rs.13 off orders above Rs.299. Exp: 16/07/2026.,Food
Offer: Use your Canara Bank credit card at Croma and get 20% off. Valid 16/07/2026.,Promotion
Did you eat? It's late. Call me when you get this message. -Mummy,Personal
Your order #ZKBD2CMWQG26 at Reliance Digital is confirmed. We'll notify you when it ships.,Shopping
Your order #KGYQJEPKRUAF at Reliance Digital is confirmed. We'll notify you when it ships.,Shopping
Myntra: Your outfit for order #G4YJ2SRWL4AX is packed & ready to ship!,Shopping
"OTP 891174 for password reset. Expires 30 mins. If not you, ignore.",OTP
"Flash Sale at DMart: 10% off for the next 2 hours! Hurry, limited stock!",Promotion
DMart Online: 20% off on grocery orders above Rs.999. Valid till 11 Jul 2026.,Promotion
"Your account XX434457 has been credited with Rs.41,181 on 02/09/2024. Axis Bank.",Transaction
Croma Delivery update: Order #1U0DE7VJFTI6 is on the way. Expected: Today.,Shopping
Use 470366 to verify your Amazon India account. Do not share this OTP.,OTP
Secure your future with SBI term insurance. Cover up to 1 Crore at low premium.,Promotion
McDonald's Update: Order #JCMGTNWCNBG0 picked up by dlvry partner. ETA: 25 mins.,Food
Assignment submission deadline extended to 27/12/2024. Submit on the portal. -HOD,Personal
ICICI Bank: 983522 is the OTP to authorise fund transfer. Do not share with anyone.,OTP
OTP 372660 to link your bank account with BHIM. Do not share. Valid 15 min.,OTP
HDFC Bank Credit Card: Earn 187 cashback on DMart spends above Rs.2000. Valid till 02-07-2026.,Promotion
Use 503928 to sign in to your account. Expires in 30 mins. Do not share.,OTP
RedBus: Boarding point Ahmedabad at 6:33 AM. Ref: RZ84VHF1TVDG. Have a safe journey!,Travel
Celebrate Holi with 40% cashback on Reliance Digital. Valid till 29 Jun 2026. T&C apply.,Promotion
"IRCTC: Booking confirmed for Karthik. PNR 8292317102, Train 38561, Date 21 March 2025, Coach 3A.",Travel
WFH tomorrow due to office maintenance. Please carry your laptops.,Personal
Your OTP for DigiLocker access is 4084. Valid 5 mins. Do not share.,OTP
OTP 591574 to confirm your Myntra order. Expires in 30 mins.,OTP
Hope you're doing well. It's been a while. Let's catch up soon!,Personal
Cordially inviting you to my daughter's Seemantham on 05 Sep 2024. Your presence would honour us.,Personal
HDFC SmartBuy: Extra 40% off on flights & hotels. Valid till 12/07/2026.,Promotion
"CREDIT ALERT: Rs.122,977 received in A/c XX859412 on 01 May 2024 at 1:04 AM. Current Balance: ₹184,755.",Transaction
Domino's: Your repeat order #1MAHV6OUIN7J is placed. Usual delivery time: 30 mins.,Food
"EMI deduction: INR108,813 from A/c XX194469. Next EMI due: 27 Jun 2026. ICICI Bank.",Transaction
"URGENT: Adani Electricity bill ₹7,175 unpaid. Last date: 28-06-2026. Pay at bit.ly/bill or app.",Bills
Independence Day Sale: 15% off at Myntra. Valid for today only!,Promotion
Library books due on 25/03/2025. Return to avoid fine. -College Library,Personal
"Dear Customer, INR187,561 debited from your Axis Bank A/c XX348484 on 27-Mar-2025 at 6:38 AM. Ref: 1UC8EANR1CGW. Avail bal: ₹365,480.",Transaction
Air India: Flight IX695 delayed by 176 mins. New departure: 08:57. Apologies for inconvenience.,Travel
Rs.19 added to your KFC wallet from cashback offer on order #A6J4956H69JD.,Food
Exclusive Bank of Baroda card offer: Flat Rs.155 off on JioMart orders. Valid till 29-06-2026.,Promotion
Independence Day Sale: 40% off at Reliance Digital. Valid for today only!,Promotion
"Dude, check this out. Sent you something on WhatsApp. Reply fast!",Personal
"Uber: Trip started. Safe travels! Driver: Deepak. From: Kolkata. Est. fare: Rs.51,637.",Travel
"Reminder: EMI of Rs.187,535 for your ICICI Bank home loan is due on 08 Jul 2026.",Bills
Housewarming invitation: Deepak has moved to a new home. Celebration on 26-Nov-2024 at 23:23.,Personal
Call me when free. Important news to share. -Mom,Personal
Your JioMart order #52HFY7EGXMYD is on its way. Tracking ID: 028NFO4MKYBP.,Shopping
"Your RedBus ticket #G6B7KT7RSJ9E for Delhi to Hyderabad on 24 Apr 2025 is confirmed. Fare: Rs.170,880.",Travel
747000 is your OTP for IDFC FIRST Bank Net Banking login. Valid for 5 mins. Do not share.,OTP
Did you see the news? Call me. It's urgent.,Personal
Reliance Digital: Your order #6KVOQT8LR2AA is available for pickup at store from 01 Apr 2024.,Shopping
Your verification code is 306172. Please do not share it with anyone.,OTP
Vi: Recharge with Rs.357 and get 15% extra data. Valid till 15 Jul 2026.,Promotion
OTP for ICICI Bank transaction: 827923. Expires in 15 minutes. Do NOT share.,OTP
Reliance Digital: Order #2UJEPIJKWBTR delivered on 26-03-2025 at 12:03 PM. Hope you love it!,Shopping
Secure your future with Axis Bank term insurance. Cover up to 1 Crore at low premium.,Promotion
"Axis Bank: INR 102,437 debited on 23-08-2025. A/c XX783545. Balance: INR6,050. Ref: 04CDPQVL00EZ.",Transaction
Cordially inviting you to my daughter's Seemantham on 06 March 2024. Your presence would honour us.,Personal
IRCTC: PNR 4402265213 status – RAC 31. Check 4 hrs before departure.,Travel
Exam timetable released. Check college portal. Finals from 25 Feb 2025.,Personal
"Amazon Pay Later: Shop now, pay later with 0% interest till 28-06-2026. T&C apply.",Promotion
KFC: Use code FOOD27 and get 41% off on your next order. Valid till 09-07-2026.,Food
"Hi Ananya, quick reminder – client call at 10:20 today. Dial-in details on mail.",Personal
"Pay IDFC FIRST Bank credit card bill INR185,873 by 06 Jul 2026. Late payment charges apply after due date.",Bills
"Your broadband bill of Rs.169,705 is due on 21 Jun 2026. Pay now to avoid service disruption. -Jio Fiber",Bills
OTP 6273 required for your delivery. Share with the delivery partner. -Croma,OTP
Cordially inviting you to my daughter's Seemantham on 29-10-2024. Your presence would honour us.,Personal
Yay! Rs.321 Domino's wallet cashback added for order #ZSRMML84SV8N. Use on next order.,Food
Union Bank: 5X reward points on Croma purchases this weekend. T&C apply.,Promotion
Pay via BHIM and earn 30% cashback up to Rs.288. T&C apply.,Promotion
"Reliance Digital: Order #6ZQNSEWSBCYT confirmed! Total: ₹191,457. Expected delivery by 22/06/2026.",Shopping
"Croma: Order #PRQ96L9JBXDO confirmed! Total: Rs27,780. Expected delivery by 21-06-2026.",Shopping
A/c XX3141 debited Rs.43463 on 11-07-26 trf to Jio Fiber. UPI Ref:418844506762. -KarnatakaBank,Transaction
"Pay IDFC FIRST Bank credit card bill ₹34,766 by 15/07/2026. Late payment charges apply after due date.",Bills
KarnatakaBank: Rs.46851 debited from XX2294 to Apollo Hospital on 16-04-24. Ref 819159529356.,Transaction
Thanks for your help today. Really appreciate it Vikram.,Personal
"BSNL Broadband: Invoice ₹16,095 due by 16/07/2026. Pay online at bsnl.in.",Bills
3343 is your OTP for IDFC FIRST Bank Net Banking login. Valid for 30 mins. Do not share.,OTP
"Beta, reached home safely. Dinner ready. Come soon.",Personal
"Bill payment reminder: INR136,867 due by 29/06/2026. Avoid late fees, pay now.",Bills
HDFC Bank Credit Card: Earn 79 cashback on Flipkart spends above Rs.2000. Valid till 06 Jul 2026.,Promotion
Your Flipkart delivery is arriving today between 10AM-2PM. Order #P4VNXJPCKZT5.,Shopping
RedBus: Bus booking confirmed! Ref: 9YUWA5ON2Z84. Mumbai → Hyderabad | 16 November 2025 07:12 | Seat: 3.,Travel
Safe travels! Let me know when you reach. -Dad,Personal
"IRCTC: Booking confirmed for Arjun. PNR 8946178760, Train 52864, Date 08 Sep 2025, Coach S2.",Travel
Exam timetable released. Check college portal. Finals from 28 Nov 2024.,Personal
Did you eat? It's late. Call me when you get this message. -Mummy,Personal
"UPI DEBIT: Rs141,015 sent to Reliance Digital via PhonePe on 04 December 2025. Balance: Rs.60,739.",Transaction
"Your Airtel mobile bill of ₹131,484 is due on 12 Jul 2026. Avoid late fees, pay now.",Bills
"PhonePe: INR193,920 transferred to deepak@upi. HDFC Bank A/c XX421066. Ref: 02TOXOU0Y9IX.",Transaction
"Amazon Pay Later: Shop now, pay later with 0% interest till 30/06/2026. T&C apply.",Promotion
Indigo: Your check-in for flight G82798 on 15-Sep-2024 is complete. Seat: 10A.,Travel
"Canara Bank Alert: Available balance in A/c XX948501 is Rs.365,939 as of 27 Apr 2024.",Transaction
"Alert: ₹119,528 has been debited from A/c XX481749 on 16-Jun-2025. Balance: INR11,588. -HDFC Bank",Transaction
"Zomato Order Confirmed #KA7YXNYG5MEO. Total: Rs.43,787. Track on app. Est. 30 mins.",Food
Did you eat? It's late. Call me when you get this message. -Mummy,Personal
Invoice ready for DMart order #4VINJE2J4K06. Download from My Orders section.,Shopping
4133 is your one-time password for mobile number verification. Valid 15 mins.,OTP
"SBI Alert: Available balance in A/c XX418595 is INR460,608 as of 20 January 2025.",Transaction
Two-wheeler insurance renewal reminder. Insure now at just Rs.2650. -HDFC Bank,Promotion
PhonePe: Get Rs.403 cashback on 3 UPI transactions. Offer ends 07-07-2026.,Promotion
Did you enjoy your meal? Rate your McDonald's order #4G923NY402CO and win Rs.45 cashback!,Food
Myntra: Your order #PJEBPRKPJEL4 is out for delivery today. Be available!,Shopping
"Uber: Your ride receipt for ₹1,812 on 12 May 2024. Trip from Jaipur to Hyderabad.",Travel
"IRCTC: PNR 5561333861 cancelled. Refund of Rs22,416 will be credited in 3-5 working days.",Travel
"SBI: INR 140,418 debited on 08 Jan 2024. A/c XX883553. Balance: Rs.161,235. Ref: Z6W8WBZO547G.",Transaction
Use OTP 193528 to complete your Axis Bank transaction. Valid 15 mins. -Axis Bank,OTP
Did you see the news? Call me. It's urgent.,Personal
"Deepak, please submit yr timesheet by 9:51 PM today. -HR",Personal
Hope you're doing well. It's been a while. Let's catch up soon!,Personal
"Pizza Hut: Your order #8U0LF91IBYSB of Rs104,472 is confirmed. Delivery in 35 mins.",Food
"Cash withdrawal of INR14,824 at ATM on 22-Oct-2025 00:03. HDFC Bank A/c XX395272. Ref: RB188ELNWOSK.",Transaction
"Reliance Digital: Rs.181,644 refund for order #59CKMSJNPEMX initiated on 17 November 2025. Check bank in 5 days.",Shopping
"Jio Postpaid Bill: Rs.191,061 due by 22-06-2026. Pay via PhonePe for instant credit.",Bills
1997 is your one-time password for mobile number verification. Valid 10 mins.,OTP
Good morning Deepak! Have a productive day ahead 😊,Personal
Hurry! Item in your cart at DMart is selling fast. Complete purchase now.,Shopping
Domino's Deal: Free delivery + 26% off this weekend. Code: FEAST. Valid 15-07-2026.,Food
IRCTC: Train 14026 on 24-Nov-2024 will depart from Platform 14 at Jaipur. Earlier: Platform 12.,Travel
"EMI deduction: Rs57,258 from A/c XX282776. Next EMI due: 13 Jul 2026. Indian Bank.",Transaction
Invoice ready for Croma order #GT2MZVWJGPCH. Download from My Orders section.,Shopping
"Airtel: Bill of Rs.4,409 pending. Pay by 08 Jul 2026 to continue uninterrupted service.",Bills
Your Aadhaar OTP is 4021. Valid for 30 mins. Do not share.,OTP
Delivery OTP for your order: 359246. Share with delivery agent to receive package.,OTP
"Zomato: Order #951XOTIE0FH4 confirmed! Your food will arrive in 30 mins. Total: ₹127,891.",Food
Your a/c XX9056 debited for Rs.41651.00 on 14-06-25 trf to Jio Fiber. UPI:202946308354.For dispute SMS BLOCK 8700 to 9373620340 -SBI,Transaction
"Myntra Refund: INR114,276 will reflect in your account by 24 Jun 2026. Order #Z26WHMTS5ZK0.",Shopping
"Item out of stock: Reliance Digital order #28T6P3WW3BND partially cancelled. Refund of INR14,019 processing.",Shopping
"ICICI Bank: Your loan EMI of INR180,203 is due on 15 Jul 2026. Auto-debit will occur on due date.",Bills
Did you eat? It's late. Call me when you get this message. -Mummy,Personal
"Baby shower for Nisha! Date: 23-02-2025, Time: 10:59 AM. Do join us for the celebration.",Personal
"Transaction of INR121,749 from Indian Bank A/c XX849277 on 12 October 2025 has FAILED. Ref: NBANXAOEYGO7. Please retry.",Transaction
"HDFC Bank: Total outstanding on your credit card is ₹94,438. Pay by 06 Jul 2026.",Bills
"Your Canara Bank Credit Card was charged Rs30,613 at Flipkart on 07/08/2024. Ref: M4YLHGO1KP2G.",Transaction
Reminder: Performance review calls starting 08 January 2024. Check your calendar.,Personal
"JioMart: Rs179,856 refund for order #G1TJZV7KF79Y initiated on 09 Aug 2024. Check bank in 5 days.",Shopping
Croma: Exchange request for order #61F0SVUL3YSM confirmed. New item arrives by 27-06-2026.,Shopping
IRCTC: Train 95668 | Chennai → Kolkata | 30-Oct-2024 | PNR: 7036991386 | Status: CONFIRMED.,Travel
"HDFC Bank: Total outstanding on your credit card is INR55,597. Pay by 28 Jun 2026.",Bills
"Return initiated for JioMart order #T4QEVXGXFEWE. Refund of Rs.84,638 within 5-7 days.",Shopping
"Aditya, movie plan tonight? 9 PM show. Let me know fast!",Personal
Your package from Amazon India is out of the warehouse. Track order #4HFP1FSQ0A8W now.,Shopping
Did you eat? It's late. Call me when you get this message. -Mummy,Personal
Your order #O4G270UHZVKS at JioMart is confirmed. We'll notify you when it ships.,Shopping
JioMart: Return request for order #X9GREFH6IXAE accepted. Pickup on 04 Jul 2026.,Shopping
"Zomato Order Confirmed #FGF84IVWVWB3. Total: INR158,679. Track on app. Est. 30 mins.",Food
KFC: Order #7MWNCNSNAUK2 delivered! Hope you enjoyed your meal. Rate us now.,Food
DMart: We've received your return request. Pickup scheduled for 30-06-2026.,Shopping
"UPI DEBIT: ₹132,216 sent to JioMart via Paytm on 26/12/2025. Balance: INR236,419.",Transaction
Prof Arjun cancelled tomorrow's Economics class. Free period at 12:21 AM.,Personal
Hope you're doing well. It's been a while. Let's catch up soon!,Personal
Your Ola booking OTP is 794898. Valid 5 mins. Do not share.,OTP
IndiGo: Baggage allowance for G8718 is 15kg check-in + 7kg cabin. PNR: 6377073620.,Travel
RedBus: Boarding point Bengaluru at 5:03 PM. Ref: ZDKTAIRZT1WN. Have a safe journey!,Travel
Debit alert: Rs.39191 from XX7172 to Flipkart on 23-10-24. UPI:276756169705. Kotak Bank,Transaction
OTP for Indian Bank transaction: 172447. Expires in 30 minutes. Do NOT share.,OTP
IRCTC: Your OTP for ticket booking is 8491. Valid for 10 mins.,OTP
"FAILED: UPI txn of Rs60,007 to suresh@ybl on 22 July 2024. Ref: F5Y7GE7MGRH5. Retry or contact Indian Bank.",Transaction
Team outing on 01 Nov 2024. Venue: office. Please confirm attendance by 12-07-2026.,Personal
"Dude, check this out. Sent you something on WhatsApp. Reply fast!",Personal
OTP 2213 required for your delivery. Share with the delivery partner. -JioMart,OTP
"URGENT: TNEB bill Rs.81,518 unpaid. Last date: 12/07/2026. Pay at bit.ly/bill or app.",Bills
"NEFT of ₹157,349 credited to A/c XX519536 on 03-02-2025. SBI. Ref: N4MFW66L1GEJ.",Transaction
Prof Karthik cancelled tomorrow's Economics class. Free period at 19:35.,Personal
"Paytm: Rs.46,520 transferred to meena@paytm. Punjab National Bank A/c XX297877. Ref: DX6TA7YPP5ZP.",Transaction
Independence Day Sale: 25% off at JioMart. Valid for today only!,Promotion
"Your EMI of ₹188,831 has been auto-debited on 23/11/2025. Bank of Baroda. A/c XX961952.",Transaction
Use OTP 585982 to complete your ICICI Bank transaction. Valid 5 mins. -ICICI Bank,OTP
"OTP 10354523 for password reset. Expires 15 mins. If not you, ignore.",OTP
Reliance Digital: Return request for order #CU51DWZZSKU3 accepted. Pickup on 12-07-2026.,Shopping
Health insurance starting Rs.299/month. Get covered now. IDFC FIRST Bank. T&C apply.,Promotion
"Your ICICI Bank Credit Card was charged Rs33,506 at Amazon India on 19 Nov 2024. Ref: YUSL42N3VQ0B.",Transaction
Order on McDonald's & use code EAT10 for flat Rs.171 off. T&C apply.,Food
"Airtel DTH: Auto-renewal of Rs.141,999 on 17 Jul 2026. Ensure sufficient balance in linked account.",Bills
Uber Intercity: Trip Ahmedabad to Chennai on 12-04-2025. Driver details will be shared 30 mins prior.,Travel
Indane Gas: Book your cylinder at Rs.904. Call 35419 or use app.,Bills
Exciting! Your DMart order #OLEWDHB0Z7PB is out for delivery. Track on app.,Shopping
Offer: Use your Punjab National Bank credit card at Reliance Digital and get 25% off. Valid 13 Jul 2026.,Promotion
Use OTP 82907058 to complete your IRCTC booking. Valid 10 mins. -IRCTC,OTP
"ICICI Bank Alert: Available balance in A/c XX149640 is ₹209,157 as of 28-May-2024.",Transaction
"IRCTC: Booking confirmed for Arjun. PNR 6311417082, Train 10649, Date 22 October 2025, Coach 2A.",Travel
"Dear Customer, ₹56,818 debited from your Bank of Baroda A/c XX563757 on 14 Oct 2025 at 23:23. Ref: 2OTG5ADG0XWG. Avail bal: ₹234,573.",Transaction
Use OTP 8974 to complete your IRCTC booking. Valid 10 mins. -IRCTC,OTP
"Order confirmed on Croma! #R9YX5L0EDLM6 for ₹185,508. Delivery by 11/07/2026.",Shopping
Your UPI registration OTP via PhonePe is 874980. Expires in 3 mins.,OTP
Use OTP 621095 to complete your IRCTC booking. Valid 10 mins. -IRCTC,OTP
"Item out of stock: Flipkart order #WH0532UYVW8U partially cancelled. Refund of INR131,070 processing.",Shopping
Govt service OTP: 26079146. Valid for 30 mins. Do not share with anyone.,OTP
Call me when free. Important news to share. -Mom,Personal
Many many happy returns of the day Arjun! May all your dreams come true. 🎂,Personal
Swiggy Super: Free delivery + 25% off unlocked. Order now!,Food
Attendance shortage warning: Chemistry class. Attend all remaining lectures.,Personal
Hurry! Item in your cart at Croma is selling fast. Complete purchase now.,Shopping
"Ola: Ride completed. Fare Rs.51,771. Thanks for riding with us! Rate your trip.",Travel
"ACT Fibernet: Monthly bill ₹22,471 due by 28-06-2026. Pay via app or Google Pay.",Bills
Refer a friend on PhonePe & earn Rs.261. They get Rs.148 too! Valid till 28/06/2026.,Promotion
Indigo: Your check-in for flight AI8660 on 14-06-2025 is complete. Seat: 28D.,Travel
Independence Day Sale: 10% off at DMart. Valid for today only!,Promotion
Delivery verification code: 531735. Provide to delivery agent to collect your order.,OTP
KFC: Order #X641R4E7I6FV delivered. Share feedback and help us improve!,Food
"Vi: Bill of Rs.112,473 pending. Pay by 17/07/2026 to continue uninterrupted service.",Bills
Use OTP 940125 to complete your IRCTC booking. Valid 5 mins. -IRCTC,OTP
JioMart: We've received your return request. Pickup scheduled for 05/07/2026.,Shopping
"Dear Customer, your TNEB bill of INR18,032 is due on 17 Jul 2026. Pay via Paytm for instant credit.",Bills
"Croma Refund: ₹184,595 will reflect in your account by 01 Jul 2026. Order #F0V747OESRMK.",Shopping
"NEFT Ref 7ILXI7T264W0: Rs.134,781 debited from Federal Bank A/c XX988657 on 21 January 2024. Expected credit by EOD.",Transaction
Standup meeting at 14:14. Please join on time. -Office,Personal
"EMI of INR109,560 debited from Indian Bank A/c XX302393 on 13-02-2024. Ref: SXQKQBKURT62. Bal: INR489,539.",Transaction
Swiggy Instamart: Grocery order #6CWOVGFWYUNK out for dlvry. Arriving in 10-15 mins.,Food
